IncidentNum,ReportedDateTime,ReportedYear,ReportedMonth,Location,WeaponUsed,ALD,NSP,POLICE,TRACT,WARD,ZIP,RoughX,RoughY,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft
200440015,2020-02-13 04:25:00,2020,2,3557 N 15TH ST,LETHAL CUTTING INSTRUMENT,6.0,4.0,5,4600.0,115.0,53206.0,2553050.156,401292.945,0,1,0,0,0,0,0,0,0,0
200440001,2020-02-12 23:30:00,2020,2,2330 W ROOSEVELT DR,FIREARM,1.0,4.0,5,4300.0,61.0,53209.0,2549958.124,406225.029,0,0,0,0,0,0,1,0,0,0
200430139,2020-02-12 20:31:00,2020,2,5961 N 63RD ST,NONE,9.0,2.0,4,1200.0,24.0,53218.0,2536718.525,416429.983,0,1,0,0,0,0,0,0,0,0
200430040,2020-02-12 09:22:00,2020,2,2719 S 14TH ST,PERSONAL WEAPON,12.0,17.0,2,18700.0,322.0,53215.0,2553773.536,369717.836,0,0,0,0,0,0,1,0,0,0
200420103,2020-02-11 16:40:00,2020,2,5930 N 69TH ST,PERSONAL WEAPON,2.0,2.0,4,1300.0,25.0,53218.0,2534667.95,416416.144,0,1,0,0,0,0,0,0,0,0
200410158,2020-02-10 22:40:00,2020,2,6467 N 106TH ST,NONE,2.0,19.0,4,302.0,32.0,53224.0,2522101.302,419380.187,0,1,0,0,0,0,0,0,0,0
200410153,2020-02-10 21:45:00,2020,2,2664 N 55TH ST,BLUNT OBJECT,10.0,5.0,3,5900.0,163.0,53210.0,2539193.329,395092.55,0,1,0,0,0,0,0,0,0,0
200410138,2020-02-10 20:10:43,2020,2,2467 N 57TH ST,PERSONAL WEAPON,10.0,5.0,3,9300.0,165.0,53210.0,2538692.423,393755.424,0,1,0,0,0,0,0,0,0,0
200410090,2020-02-10 15:00:00,2020,2,2937 N 25TH ST,PERSONAL WEAPON,7.0,4.0,5,6400.0,111.0,53206.0,2549111.703,397293.653,0,1,0,0,0,0,0,0,0,0
200410125,2020-02-10 08:30:00,2020,2,2977 N 29TH ST,PERSONAL WEAPON,7.0,4.0,5,6300.0,105.0,53210.0,2547786.67,397279.899,0,1,0,0,0,0,0,0,0,0
200400110,2020-02-09 15:00:00,2020,2,4425 W NORTH AV,OTHER,15.0,5.0,3,9100.0,157.0,53208.0,2542791.921,393164.688,0,1,0,0,0,0,0,0,0,0
200410005,2020-02-09 10:00:00,2020,2,2013 N 41ST ST,HANDGUN,15.0,11.0,3,9100.0,156.0,53208.0,2543946.21,391677.474,0,1,0,0,0,0,0,0,0,0
200400055,2020-02-09 09:30:00,2020,2,2938 N 23RD ST,PERSONAL WEAPON,7.0,4.0,5,6400.0,111.0,53206.0,2550101.815,397305.094,0,1,0,0,0,0,0,0,0,0
200400049,2020-02-09 05:00:00,2020,2,1712 W WASHINGTON ST,PERSONAL WEAPON,12.0,15.0,2,15800.0,228.0,53204.0,2552401.131,378645.312,0,1,0,0,0,0,0,0,0,0
